PH_SEQ,PPPOS,A_AGE,A_SEX,A_MARITL,PRDTRACE,PEARNVAL,A_FNLWGT,region_id
10105.0,41.0,47.0,2.0,1.0,1.0,60000.0,378754.0,1
10105.0,42.0,28.0,1.0,1.0,1.0,0.0,374007.0,1
10106.0,41.0,54.0,2.0,1.0,1.0,25000.0,352487.0,1
10106.0,42.0,56.0,1.0,1.0,1.0,23000.0,398765.0,1
10107.0,41.0,75.0,2.0,4.0,1.0,0.0,367004.0,1
10108.0,41.0,59.0,1.0,1.0,4.0,70000.0,594777.0,1
10108.0,42.0,60.0,2.0,1.0,4.0,0.0,430610.0,1
10108.0,43.0,24.0,1.0,7.0,4.0,55000.0,649844.0,1
10109.0,41.0,85.0,2.0,4.0,1.0,0.0,443571.0,1
10110.0,41.0,67.0,1.0,5.0,1.0,0.0,357631.0,1
10110.0,42.0,70.0,2.0,5.0,1.0,0.0,375572.0,1
,,,,,,,,1
10112.0,41.0,61.0,1.0,1.0,1.0,0.0,378350.0,1
10112.0,42.0,59.0,2.0,1.0,1.0,17000.0,382805.0,1
10112.0,43.0,22.0,1.0,7.0,1.0,17000.0,476901.0,1
10112.0,44.0,18.0,1.0,7.0,1.0,5000.0,387620.0,1
10113.0,41.0,55.0,2.0,7.0,2.0,0.0,356717.0,1
10113.0,42.0,24.0,2.0,7.0,2.0,0.0,491302.0,1
10113.0,43.0,13.0,1.0,7.0,2.0,0.0,508111.0,1
10114.0,41.0,54.0,2.0,5.0,2.0,10000.0,385863.0,1
10114.0,42.0,24.0,1.0,7.0,2.0,24000.0,580319.0,1
10115.0,41.0,76.0,2.0,1.0,1.0,0.0,369999.0,1
10115.0,42.0,77.0,1.0,1.0,1.0,0.0,384235.0,1
10116.0,41.0,32.0,2.0,1.0,1.0,35000.0,304133.0,1
10116.0,42.0,29.0,1.0,1.0,1.0,40000.0,374007.0,1
10117.0,41.0,17.0,2.0,7.0,1.0,0.0,409028.0,1
10117.0,42.0,63.0,2.0,7.0,1.0,0.0,343536.0,1
10117.0,43.0,35.0,1.0,3.0,1.0,33000.0,524923.0,1
10117.0,44.0,19.0,1.0,7.0,1.0,0.0,426228.0,1
10117.0,45.0,17.0,1.0,7.0,1.0,0.0,426228.0,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
10122.0,41.0,47.0,2.0,1.0,1.0,0.0,368807.0,1
10122.0,42.0,46.0,1.0,1.0,1.0,50000.0,412056.0,1
10122.0,43.0,18.0,2.0,7.0,1.0,0.0,493603.0,1
10122.0,44.0,17.0,1.0,7.0,1.0,0.0,387620.0,1
10122.0,45.0,8.0,1.0,7.0,1.0,0.0,309351.0,1
10122.0,46.0,6.0,1.0,7.0,1.0,0.0,347142.0,1
10123.0,41.0,49.0,1.0,1.0,1.0,108000.0,399946.0,1
10123.0,42.0,49.0,2.0,1.0,1.0,68000.0,399743.0,1
10123.0,43.0,18.0,2.0,7.0,1.0,5000.0,367356.0,1
10123.0,44.0,13.0,2.0,7.0,1.0,0.0,438633.0,1
10123.0,45.0,11.0,1.0,7.0,1.0,0.0,669498.0,1
10124.0,41.0,37.0,2.0,1.0,1.0,0.0,395152.0,1
10124.0,42.0,43.0,1.0,1.0,1.0,150000.0,369145.0,1
10124.0,43.0,12.0,1.0,7.0,1.0,0.0,411719.0,1
10124.0,44.0,6.0,2.0,7.0,1.0,0.0,427090.0,1
10124.0,45.0,5.0,2.0,7.0,1.0,0.0,366561.0,1
10125.0,41.0,57.0,1.0,1.0,1.0,101000.0,404725.0,1
